sitio_area_ID,subsample_ID,Lat,Long
WLOU_2019-07-23,NA,39.89137,-105.9154
WLOU_2019-09-12,NA,39.89137,-105.9154
WLOU_2020-07-20,NA,39.89137,-105.9154
WLOU_2020-09-21,NA,39.89137,-105.9154
WLOU_2021-05-10,NA,39.89137,-105.9154
WLOU_2021-07-20,NA,39.89137,-105.9154
WLOU_2021-07-20,NA,39.89137,-105.9154
WLOU_2021-09-20,NA,39.89137,-105.9154
LECO_2016-10-10,NA,35.69043,-83.50379
OKSR_2019-05-29,NA,68.66975,-149.14302
BLDE_2020-07-26,NA,44.95011,-110.58715
COMO_2020-08-03,NA,40.03496,-105.54487
